City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,lamu,-2.2717,40.902,302.01,70,70,4.75,KE,1707114789
110,punta arenas,-53.15,-70.9167,282.21,76,40,11.32,CL,1707114670
111,san antonio de pale,-1.4014,5.6325,301.16,75,86,2.24,GQ,1707114789
112,strenci,57.6257,25.6854,269.35,90,35,2.72,LV,1707114789
113,ust'-kut,56.7938,105.7672,266.52,84,81,2.49,RU,1707114790
114,bella vista,36.4295,-94.2316,280.53,91,100,6.17,US,1707114533
115,margaret river,-33.95,115.0667,294.33,52,0,8.13,AU,1707114791
116,ust'-ilimsk,58.0006,102.6619,265.62,81,100,4.02,RU,1707114791
117,sitka,57.0531,-135.33,276.09,87,100,2.06,US,1707114791
118,mamontovo,52.7055,81.6244,268.04,89,100,6.05,RU,1707114791
119,linhares,-19.3911,-40.0722,295.22,95,100,0.71,BR,1707114792
120,gewane,10.1664,40.6453,298.18,61,100,3.66,ET,1707114792
121,vilyuchinsk,52.9306,158.4028,268.3,78,100,0.94,RU,1707114792
122,coquimbo,-29.9533,-71.3436,291.0,100,40,2.57,CL,1707114793
123,worland,44.0169,-107.9554,272.4,75,0,5.66,US,1707114793
124,la passe,45.5549,-0.8967,279.81,88,9,1.37,FR,1707114793
125,rosarito,32.3333,-117.0333,288.68,73,100,8.31,MX,1707114606
126,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,75,75,4.02,RU,1707115201
127,ta`u,-14.2336,-169.5144,301.59,80,100,6.07,AS,1707114794
128,kerikeri,-35.2268,173.9474,295.32,68,0,1.34,NZ,1707114794
129,bandundu,-3.3167,17.3667,298.59,83,98,2.1,CD,1707114794
130,hami,42.8,93.45,272.87,48,0,1.27,CN,1707114795
131,socorro,31.6546,-106.3033,284.53,44,0,3.6,US,1707114795
132,mitu,1.1983,-70.1733,295.59,99,100,1.07,CO,1707114795
133,los frentones,-26.4077,-61.4137,298.62,63,10,2.17,AR,1707114796
134,chinde,26.8418,88.0763,285.8,52,98,2.36,NP,1707114796
135,xai-xai,-25.0519,33.6442,302.77,62,16,0.08,MZ,1707114796
136,gordonvale,-17.0936,145.7842,303.76,86,100,1.15,AU,1707114797
137,uturoa,-16.7333,-151.4333,299.83,81,100,1.23,PF,1707114797
138,dudinka,69.4058,86.1778,256.27,92,100,7.69,RU,1707114797
139,bastia,42.6667,9.3333,284.98,89,100,2.57,FR,1707114798
140,anadyr,64.75,177.4833,254.43,71,0,3.0,RU,1707114798
141,ilomantsi,62.6716,30.9328,267.42,94,100,3.96,FI,1707114798
142,isafjordur,66.0755,-23.124,268.48,81,100,9.3,IS,1707114798
143,fuengirola,36.54,-4.6247,283.06,87,0,3.6,ES,1707114799
144,dire,12.2833,-10.9667,294.91,20,0,1.07,ML,1707114799
145,dwarka,22.2394,68.9678,298.19,71,50,4.19,IN,1707114799
146,fort saskatchewan,53.7168,-113.2187,266.04,90,100,1.03,CA,1707114728
147,kapuskasing,49.4169,-82.4331,266.2,100,75,3.09,CA,1707114800
148,sinop,41.7711,34.8709,274.39,80,100,5.38,TR,1707114620
149,qarazhal,48.0078,70.7903,267.97,83,98,6.48,KZ,1707114800
150,hirara,24.8,125.2833,292.3,82,75,11.83,JP,1707114800
151,kuanda,56.3161,116.0806,252.82,90,45,0.63,RU,1707114801
152,pruszcz gdanski,54.2622,18.6363,279.25,73,40,13.38,PL,1707114801
153,badger,64.8,-147.5333,255.77,73,0,0.0,US,1707114801
154,fort bragg,35.139,-79.006,279.23,71,0,2.57,US,1707114801
155,gadzhiyevo,69.2551,33.3362,256.94,96,17,3.19,RU,1707114802
156,trinidad,-14.8333,-64.9,296.08,88,7,1.48,BO,1707114722
157,tan-tan,28.438,-11.1032,290.12,31,0,5.14,MA,1707114802
158,aasiaat,68.7098,-52.8699,241.41,89,9,2.33,GL,1707114802
159,saynshand,44.8824,110.1163,262.77,86,100,2.75,MN,1707114803
160,san julian,21.0167,-102.1667,283.55,20,0,0.45,MX,1707114803
161,tazovsky,67.4667,78.7,257.39,95,100,4.25,RU,1707114803
162,holmsund,63.706,20.3641,269.12,80,100,4.12,SE,1707114803
163,kittila,67.6647,24.8936,267.23,79,100,3.09,FI,1707114804
164,al jawf,29.5,38.75,283.1,40,0,2.05,SA,1707114804
165,mount isa,-20.7333,139.5,310.02,36,40,6.17,AU,1707114804
166,nelson bay,-32.7167,152.15,306.18,79,100,8.05,AU,1707114804
167,qina,26.1642,32.7267,287.91,40,1,4.9,EG,1707114804
168,keflavik,64.0049,-22.5624,270.39,63,75,6.17,IS,1707114805
169,ancud,-41.8697,-73.8203,288.65,91,100,6.97,CL,1707114805
170,taoudenni,22.6783,-3.9836,286.93,26,100,4.83,ML,1707114805
171,tolanaro,-25.0319,46.9987,298.19,88,75,8.23,MG,1707114806
172,lompoc,34.6391,-120.4579,287.47,86,20,3.09,US,1707114806
173,sisimiut,66.9395,-53.6735,252.02,89,78,3.64,GL,1707114806
174,avarua,-21.2078,-159.775,299.18,89,40,1.03,CK,1707114807
175,ghanzi,-21.5667,21.7833,302.2,36,100,3.37,BW,1707114807
176,jijel,36.8205,5.7667,287.3,56,0,2.72,DZ,1707114807
177,lewistown,40.5992,-77.5714,274.61,96,0,0.0,US,1707114807
178,puerto deseado,-47.7503,-65.8938,293.93,30,7,13.85,AR,1707114693
179,yung shue wan,22.2333,114.1167,295.26,79,100,1.34,HK,1707114808
180,saipan,15.1355,145.701,301.54,65,75,8.75,MP,1707114809
181,talnakh,69.4865,88.3972,256.04,94,100,4.86,RU,1707114801
182,armacao de buzios,-22.7469,-41.8817,299.18,93,100,4.96,BR,1707114810
183,carnarvon,-24.8667,113.6333,301.46,50,6,11.29,AU,1707114810
184,wailua homesteads,22.0669,-159.378,295.39,81,100,5.66,US,1707114810
185,bonthe,7.5264,-12.505,296.71,90,11,1.66,SL,1707114811
186,alesund,62.4723,6.1549,273.33,83,40,4.12,NO,1707114811
187,maceio,-9.6658,-35.7353,298.84,100,20,1.54,BR,1707114811
188,sungai penuh,-2.0833,101.3833,297.87,75,92,1.89,ID,1707114811
189,flying fish cove,-10.4217,105.6791,300.97,89,100,4.12,CX,1707114812
190,albu kamal,34.45,40.9186,286.03,59,90,2.77,SY,1707114812
191,lihue,21.9789,-159.3672,295.73,80,100,5.66,US,1707114812
192,saruhanli,38.7346,27.5681,272.39,78,0,0.97,TR,1707114812
193,portland,45.5234,-122.6762,283.75,68,100,5.36,US,1707114547
194,khash,28.2211,61.2158,284.98,26,0,4.68,IR,1707114813
195,miyazaki,31.9111,131.4239,289.12,63,40,12.86,JP,1707114801
196,amahai,-3.3333,128.9167,302.39,74,74,0.88,ID,1707114813
197,waddan,29.1614,16.139,283.47,58,0,2.22,LY,1707114813
198,al muwayh,22.4333,41.7583,291.03,31,100,0.65,SA,1707114814
199,ghadamis,30.1337,9.5007,282.7,59,0,2.85,LY,1707114814
200,utrik,11.2278,169.8474,299.31,83,53,9.26,MH,1707114814
201,la ronge,55.1001,-105.2842,267.29,86,100,3.6,CA,1707114814
202,churapcha,62.0025,132.4325,241.03,99,95,0.87,RU,1707114815
203,oeiras do para,-2.0031,-49.8544,296.72,99,38,1.0,BR,1707114815
204,kutum,14.2,24.6667,287.84,20,100,5.21,SD,1707114815
205,karachi,24.9056,67.0822,293.05,73,40,3.6,PK,1707114607
206,dhamnod,22.2167,75.4667,304.75,27,0,4.61,IN,1707114816
207,klaksvik,62.2266,-6.589,270.66,55,90,4.09,FO,1707114816
208,mocimboa,-11.3167,40.35,302.48,75,100,3.08,MZ,1707114816
209,touros,-5.1989,-35.4608,299.98,80,4,5.6,BR,1707114652
210,hobyo,5.3505,48.5268,301.77,58,71,9.44,SO,1707114817
211,kununurra,-15.7667,128.7333,309.14,52,70,5.14,AU,1707114517
212,lazaro cardenas,17.9583,-102.2,293.86,77,0,1.6,MX,1707114817
213,birao,10.2849,22.7882,296.75,14,5,6.53,CF,1707114817
214,codrington,-38.2667,141.9667,290.71,54,39,6.33,AU,1707114818
215,hithadhoo,-0.6,73.0833,301.53,77,100,6.37,MV,1707114818
216,kuraymah,18.55,31.85,290.69,23,30,7.66,SD,1707114819
217,labrador city,52.9463,-66.9114,247.69,74,0,0.0,CA,1707114615
218,broken hill,-31.95,141.4333,303.12,46,62,5.09,AU,1707115200
219,puerto princesa,9.7392,118.7353,304.14,70,20,4.12,PH,1707114820
